date,open,high,low,close,volume,average,barCount
2002-11-25,93.43,94.26,92.77,93.48,34060600.0,93.48,1
2002-11-26,93.07,93.45,91.62,91.7,42290400.0,91.7,1
2002-11-27,92.52,94.65,92.43,94.28,37775100.0,94.28,1
2002-11-29,94.8,94.95,93.77,93.98,19385700.0,93.98,1
2002-12-02,95.47,96.05,93.22,94.13,49798600.0,94.13,1
2002-12-03,93.25,93.4,92.35,92.87,34434200.0,92.87,1
2002-12-04,91.77,93.14,91.43,92.45,64151000.0,92.45,1
2002-12-05,92.7,92.8,91.1,91.43,36825300.0,91.43,1
2002-12-06,90.12,92.17,89.98,92.03,50132600.0,92.03,1
2002-12-09,91.07,91.46,89.48,89.5,36888500.0,89.5,1
2002-12-10,90.02,91.1,89.76,90.7,33451700.0,90.7,1
2002-12-11,90.42,91.62,90.16,90.78,39207900.0,90.78,1
2002-12-12,91.2,91.49,90.2,90.77,34486300.0,90.77,1
2002-12-13,89.91,90.48,89.27,89.34,36877700.0,89.34,1
2002-12-16,89.82,91.79,89.66,91.65,37119500.0,91.65,1
2002-12-17,91.37,91.74,90.74,90.85,32405800.0,90.85,1
2002-12-18,90.32,90.4,89.33,89.8,35651300.0,89.8,1
2002-12-19,89.35,90.7,88.6,89.16,39293300.0,89.16,1
2002-12-20,89.2,90.02,89.1,89.99,31183500.0,89.99,1
2002-12-23,89.59,90.47,89.31,90.02,22645500.0,90.02,1
2002-12-24,89.59,89.86,89.25,89.36,10937000.0,89.355,1
2002-12-26,89.7,90.61,88.84,89.39,17490000.0,89.39,1
2002-12-27,88.96,89.29,87.38,87.38,22213100.0,87.38,1
2002-12-30,87.8,88.47,87.22,88.11,29972300.0,88.11,1
2002-12-31,87.99,88.43,87.11,88.23,34038300.0,88.23,1
2003-01-02,88.85,91.3,88.54,91.07,44645400.0,91.07,1
2003-01-03,90.91,91.39,90.5,91.35,32227900.0,91.35,1
2003-01-06,91.24,93.49,91.18,92.96,41009800.0,92.96,1
2003-01-07,92.9,93.37,92.2,92.73,38656800.0,92.73,1
2003-01-08,92.2,92.4,91.05,91.39,38739700.0,91.39,1
2003-01-09,91.82,93.18,91.41,92.81,34858800.0,92.81,1
2003-01-10,91.95,93.64,91.8,93.06,37773300.0,93.06,1
2003-01-13,93.54,93.86,92.44,93.03,31676800.0,93.03,1
2003-01-14,92.69,93.83,92.41,93.33,30924700.0,93.33,1
2003-01-15,93.54,93.57,91.91,92.4,33543000.0,92.4,1
2003-01-16,92.5,92.93,91.45,92.02,45381800.0,92.02,1
2003-01-17,90.99,92.3,90.15,90.66,35622700.0,90.66,1
2003-01-21,90.87,90.92,88.95,89.25,42376400.0,89.25,1
2003-01-22,88.77,89.32,88.0,88.17,42816000.0,88.17,1
2003-01-23,88.75,89.38,87.95,88.71,56082000.0,88.71,1
2003-01-24,88.59,88.68,86.17,86.38,68703000.0,86.38,1
2003-01-27,85.73,86.8,84.5,85.2,58297300.0,85.2,1
2003-01-28,85.63,86.4,85.13,85.83,46965300.0,85.83,1
2003-01-29,85.44,87.18,84.77,86.48,53780800.0,86.48,1
2003-01-30,86.79,86.88,84.4,84.43,49886700.0,84.43,1
2003-01-31,84.15,86.22,84.15,86.06,55323600.0,86.06,1
2003-02-03,86.14,86.82,85.92,86.23,39799900.0,86.23,1
2003-02-04,85.31,85.75,84.3,85.38,43762600.0,85.38,1
2003-02-05,85.75,86.54,84.49,84.85,55304300.0,84.85,1
2003-02-06,84.37,84.89,83.65,84.45,53664400.0,84.45,1
2003-02-07,84.91,84.99,82.97,83.42,43170100.0,83.42,1
2003-02-10,83.47,84.13,82.65,84.01,45476500.0,84.01,1
2003-02-11,84.37,84.71,82.83,83.43,46887400.0,83.43,1
2003-02-12,83.16,83.62,82.09,82.1,35929500.0,82.1,1
2003-02-13,82.15,82.66,81.0,82.35,58073500.0,82.35,1
2003-02-14,82.37,84.2,81.83,84.15,59590200.0,84.15,1
2003-02-18,84.53,85.8,84.39,85.63,39527000.0,85.63,1
2003-02-19,85.32,85.47,84.28,85.18,31441500.0,85.18,1
2003-02-20,85.21,85.42,84.05,84.33,29300500.0,84.33,1
2003-02-21,84.38,85.74,83.46,85.18,60965300.0,85.18,1
2003-02-24,84.93,85.0,83.59,83.8,30703600.0,83.8,1
2003-02-25,82.95,84.49,82.22,84.47,56927400.0,84.47,1
2003-02-26,84.02,84.53,83.08,83.24,37808200.0,83.24,1
2003-02-27,83.7,84.75,83.16,84.34,51834200.0,84.34,1
2003-02-28,84.47,85.23,84.16,84.9,43891400.0,84.9,1
2003-03-03,85.26,85.78,83.72,84.09,42942600.0,84.09,1
2003-03-04,83.95,84.01,82.65,82.75,31481900.0,82.75,1
2003-03-05,82.61,83.54,82.36,83.45,44110700.0,83.45,1
2003-03-06,82.87,83.52,82.47,82.75,41469400.0,82.75,1
2003-03-07,81.61,83.99,81.43,83.32,63584700.0,83.32,1
2003-03-10,82.6,82.86,81.1,81.32,41077700.0,81.32,1
2003-03-11,81.48,82.0,80.48,80.52,48128900.0,80.52,1
2003-03-12,80.38,81.1,79.38,81.06,62483800.0,81.06,1
2003-03-13,82.18,83.91,81.53,83.86,72199000.0,83.86,1
2003-03-14,84.2,84.77,83.35,84.13,63965400.0,84.13,1
2003-03-17,83.46,86.95,83.22,86.78,88316900.0,86.78,1
2003-03-18,87.15,87.35,86.28,87.29,51094700.0,87.29,1
2003-03-19,87.28,88.16,86.68,87.96,49668600.0,87.96,1
2003-03-20,87.33,88.59,86.35,88.15,67479700.0,88.15,1
2003-03-21,88.8,89.88,87.93,89.67,71267000.0,89.67,1
2003-03-24,88.02,88.14,86.35,86.69,65434500.0,86.69,1
2003-03-25,86.74,88.26,86.44,87.52,61190500.0,87.52,1
2003-03-26,87.56,87.85,86.8,87.08,45772400.0,87.08,1
2003-03-27,86.4,87.66,85.99,87.15,53294500.0,87.15,1
2003-03-28,86.47,87.28,86.25,86.71,32604600.0,86.71,1
2003-03-31,85.35,86.59,84.4,84.74,60802300.0,84.74,1
2003-04-01,85.25,86.39,84.91,86.04,53914800.0,86.04,1
2003-04-02,87.54,88.77,87.5,88.12,50507800.0,88.12,1
2003-04-03,88.87,88.99,87.65,87.7,49028500.0,87.7,1
2003-04-04,88.43,88.59,87.62,88.22,36262500.0,88.22,1
2003-04-07,90.34,90.85,87.97,88.05,69833100.0,88.05,1
2003-04-08,88.3,88.65,87.71,88.19,39753900.0,88.19,1
2003-04-09,88.36,89.1,86.77,87.03,55693900.0,87.03,1
2003-04-10,87.09,87.63,86.54,87.51,42155800.0,87.51,1
2003-04-11,88.16,88.7,86.86,87.15,47738800.0,87.15,1
2003-04-14,87.47,89.0,87.0,88.95,36967900.0,88.95,1
2003-04-15,88.84,89.78,88.42,89.78,49989400.0,89.78,1
2003-04-16,89.91,90.07,88.03,88.25,51820400.0,88.25,1
2003-04-17,88.3,89.72,88.19,89.56,37487500.0,89.56,1
2003-04-21,89.86,90.16,89.06,89.65,32085800.0,89.65,1
2003-04-22,89.1,91.56,88.89,91.34,59870000.0,91.34,1
2003-04-23,91.62,92.35,91.24,92.18,44254100.0,92.18,1
2003-04-24,91.53,92.08,90.96,91.36,50038400.0,91.36,1
2003-04-25,91.3,91.47,90.02,90.23,43926700.0,90.23,1
2003-04-28,90.44,92.19,90.3,91.79,46471900.0,91.79,1
2003-04-29,92.14,92.8,91.4,92.11,52347400.0,92.11,1
2003-04-30,91.91,92.57,91.41,91.91,48919400.0,91.91,1
2003-05-01,91.92,92.73,90.5,91.9,50419000.0,91.9,1
2003-05-02,91.56,93.47,91.49,93.21,50239900.0,93.21,1
2003-05-05,93.47,93.78,92.5,93.03,35456200.0,93.03,1
2003-05-06,93.04,94.38,93.0,93.91,44587300.0,93.91,1
2003-05-07,93.42,94.14,92.97,93.39,41443000.0,93.39,1
2003-05-08,92.52,93.34,92.28,92.45,40774900.0,92.45,1
2003-05-09,92.83,93.8,92.61,93.73,33653700.0,93.73,1
2003-05-12,93.5,95.12,93.28,94.88,35688500.0,94.88,1
2003-05-13,94.53,95.19,94.26,94.71,39299000.0,94.71,1
2003-05-14,95.09,95.24,93.91,94.51,32236900.0,94.51,1
2003-05-15,94.89,95.33,94.25,95.11,43939900.0,95.11,1
2003-05-16,94.89,95.45,94.26,94.87,38914500.0,94.87,1
2003-05-19,94.15,94.89,92.33,92.65,43242300.0,92.65,1
2003-05-20,92.82,93.03,91.6,92.46,55457600.0,92.46,1
2003-05-21,92.11,92.88,91.91,92.65,49859600.0,92.65,1
2003-05-22,92.95,94.05,92.68,93.57,38463900.0,93.57,1
2003-05-23,93.53,93.98,93.14,93.76,26158600.0,93.76,1
2003-05-27,93.3,95.84,93.18,95.4,43739500.0,95.4,1
2003-05-28,95.85,96.47,95.43,95.67,37752100.0,95.67,1
2003-05-29,95.88,96.82,95.08,95.42,50972100.0,95.42,1
2003-05-30,95.9,97.09,95.56,96.95,52546300.0,96.95,1
2003-06-02,97.53,98.45,96.67,97.35,50711700.0,97.35,1
2003-06-03,97.15,97.84,96.85,97.75,39555300.0,97.75,1
2003-06-04,97.66,99.35,97.57,99.16,49443600.0,99.16,1
2003-06-05,98.58,99.65,98.27,99.65,46432100.0,99.65,1
2003-06-06,100.4,101.4,99.13,99.26,60401100.0,99.26,1
2003-06-09,98.77,99.1,97.77,98.25,38400100.0,98.25,1
2003-06-10,98.46,99.26,98.19,99.25,30120200.0,99.25,1
2003-06-11,99.16,100.39,98.71,100.3,37641900.0,100.3,1
2003-06-12,100.75,100.9,99.62,100.61,36491400.0,100.61,1
2003-06-13,100.61,100.75,98.95,99.56,48640800.0,99.56,1
2003-06-16,99.96,101.7,99.8,101.66,36422100.0,101.66,1
2003-06-17,102.07,102.18,101.23,101.66,36824400.0,101.66,1
2003-06-18,101.29,102.14,101.0,101.57,35552200.0,101.57,1
2003-06-19,101.64,101.73,99.84,100.02,43570700.0,100.02,1
2003-06-20,100.39,100.5,99.42,99.44,41554900.0,99.44,1
2003-06-23,99.45,99.66,97.92,98.42,34344600.0,98.42,1
2003-06-24,98.22,99.06,98.02,98.52,36237900.0,98.52,1
2003-06-25,98.53,99.44,97.53,97.53,47864500.0,97.53,1
2003-06-26,97.78,98.98,96.96,98.8,33552000.0,98.8,1
2003-06-27,98.75,99.19,97.58,97.66,54216000.0,97.66,1
2003-06-30,98.22,98.67,97.47,97.63,33865300.0,97.63,1
2003-07-01,97.25,98.85,96.43,98.53,51418400.0,98.53,1
2003-07-02,98.77,99.79,98.57,99.77,34679700.0,99.77,1
2003-07-03,99.07,99.85,97.9,98.74,30868400.0,98.74,1
2003-07-07,99.65,100.9,99.65,100.7,31432300.0,100.7,1
2003-07-08,100.5,101.29,100.17,101.15,33159700.0,101.15,1
2003-07-09,100.92,101.4,100.03,100.58,36632000.0,100.58,1
2003-07-10,99.84,100.04,98.63,99.3,49850500.0,99.3,1
2003-07-11,99.39,100.45,99.39,100.24,40079100.0,100.24,1
2003-07-14,101.2,101.9,99.92,100.73,42157200.0,100.73,1
2003-07-15,101.38,101.46,99.95,100.51,63632700.0,100.51,1
2003-07-16,100.81,100.87,99.23,99.92,40217600.0,99.92,1
2003-07-17,99.15,99.88,98.16,98.5,48928600.0,98.5,1
2003-07-18,99.02,99.8,98.46,99.51,35705800.0,99.51,1
2003-07-21,99.45,99.49,97.85,98.28,35142700.0,98.28,1
2003-07-22,98.69,99.41,97.91,99.17,50010600.0,99.17,1
2003-07-23,99.21,99.45,98.28,99.24,37302100.0,99.24,1
2003-07-24,99.99,100.34,98.37,98.49,41176100.0,98.49,1
2003-07-25,98.66,100.29,98.04,100.23,43329600.0,100.23,1
2003-07-28,100.37,100.98,99.67,99.86,34417000.0,99.86,1
2003-07-29,100.14,100.27,98.68,99.4,53571600.0,99.4,1
2003-07-30,99.6,99.79,98.93,99.16,28428700.0,99.16,1
2003-07-31,99.98,100.94,99.05,99.39,59123300.0,99.39,1
2003-08-01,99.19,99.53,98.24,98.51,49326900.0,98.51,1
2003-08-04,98.31,99.0,97.0,98.51,55546900.0,98.51,1
2003-08-05,98.41,98.76,96.34,96.42,61749600.0,96.42,1
2003-08-06,96.69,98.06,96.42,96.98,51183600.0,96.98,1
2003-08-07,97.17,98.07,96.76,98.0,43549000.0,98.0,1
2003-08-08,98.32,98.55,97.76,98.28,27359700.0,98.28,1
2003-08-11,98.26,99.04,97.84,98.65,34638500.0,98.65,1
2003-08-12,98.71,99.59,98.42,99.55,43366600.0,99.55,1
2003-08-13,99.82,99.85,98.53,99.04,36158300.0,99.04,1
2003-08-14,99.1,99.75,98.51,99.31,30577500.0,99.31,1
2003-08-15,99.21,99.79,99.12,99.62,12567600.0,99.62,1
2003-08-18,99.93,100.6,99.74,100.48,22951800.0,100.48,1
2003-08-19,100.69,100.94,100.0,100.86,37460700.0,100.86,1
2003-08-20,100.29,100.89,100.16,100.45,23206200.0,100.45,1
2003-08-21,101.05,101.52,100.4,100.77,46553400.0,100.77,1
2003-08-22,101.75,101.82,99.73,99.77,52046700.0,99.77,1
2003-08-25,99.71,100.83,99.28,99.93,23495600.0,99.93,1
2003-08-26,99.5,100.39,98.83,100.11,45084500.0,100.11,1
2003-08-27,100.05,100.36,99.57,100.14,18987900.0,100.14,1
2003-08-28,100.4,101.0,99.66,100.76,27427400.0,100.76,1
2003-08-29,100.61,101.48,100.48,101.44,28721900.0,101.44,1
2003-09-02,101.64,102.88,101.05,102.8,50864300.0,102.8,1
2003-09-03,103.03,103.7,102.78,103.36,44927200.0,103.36,1
2003-09-04,103.1,103.55,102.76,103.41,28404900.0,103.41,1
2003-09-05,102.94,103.55,102.4,102.83,31656500.0,102.83,1
2003-09-08,103.04,103.88,102.93,103.68,32666300.0,103.68,1
2003-09-09,103.37,103.46,102.68,103.0,35084100.0,103.0,1
2003-09-10,102.54,102.8,101.55,101.96,45953600.0,101.96,1
2003-09-11,102.1,102.76,101.84,102.26,38801600.0,102.26,1
2003-09-12,101.91,102.64,101.35,102.45,42443200.0,102.45,1
2003-09-15,102.52,102.63,101.95,102.09,21321900.0,102.09,1
2003-09-16,102.23,103.64,102.17,103.58,37956300.0,103.58,1
2003-09-17,103.48,103.78,103.05,103.38,32073000.0,103.38,1
2003-09-18,103.4,104.7,103.17,104.6,30295300.0,104.6,1
2003-09-19,104.27,104.6,103.4,103.67,34385900.0,103.67,1
2003-09-22,102.85,102.96,102.03,102.55,36704300.0,102.55,1
2003-09-23,102.59,103.29,102.36,102.94,32514100.0,102.94,1
