date,date,symbol,signal,signal_type,stop_loss,take_profit,position_size
2020-07-22,2020-07-22,SPY,1,exit,,,0.1
2020-07-31,2020-07-31,SPY,1,exit,,,0.1
2020-08-03,2020-08-03,SPY,1,exit,,,0.1
2020-08-04,2020-08-04,SPY,1,exit,,,0.1
2020-08-05,2020-08-05,SPY,1,exit,,,0.1
2020-08-06,2020-08-06,SPY,1,exit,,,0.1
2020-08-07,2020-08-07,SPY,1,exit,,,0.1
2020-08-10,2020-08-10,SPY,1,exit,,,0.1
2020-08-12,2020-08-12,SPY,1,exit,,,0.1
2020-08-13,2020-08-13,SPY,1,exit,,,0.1
2020-08-14,2020-08-14,SPY,1,exit,,,0.1
2020-08-17,2020-08-17,SPY,1,exit,,,0.1
2020-08-18,2020-08-18,SPY,1,exit,,,0.1
2020-08-19,2020-08-19,SPY,1,exit,,,0.1
2020-08-20,2020-08-20,SPY,1,exit,,,0.1
2020-08-21,2020-08-21,SPY,1,exit,,,0.1
2020-08-24,2020-08-24,SPY,1,exit,,,0.1
2020-08-25,2020-08-25,SPY,1,exit,,,0.1
2020-08-26,2020-08-26,SPY,1,exit,,,0.1
2020-08-27,2020-08-27,SPY,1,exit,,,0.1
2020-08-28,2020-08-28,SPY,1,exit,,,0.1
2020-08-31,2020-08-31,SPY,1,exit,,,0.1
2020-09-01,2020-09-01,SPY,1,exit,,,0.1
2020-09-02,2020-09-02,SPY,1,exit,,,0.1
2020-09-21,2020-09-21,SPY,-1,exit,,,0.1
2020-09-23,2020-09-23,SPY,-1,exit,,,0.1
2020-09-24,2020-09-24,SPY,-1,exit,,,0.1
2020-10-07,2020-10-07,SPY,1,exit,,,0.1
2020-10-08,2020-10-08,SPY,1,exit,,,0.1
2020-10-09,2020-10-09,SPY,1,exit,,,0.1
2020-10-12,2020-10-12,SPY,1,exit,,,0.1
2020-10-13,2020-10-13,SPY,1,exit,,,0.1
2020-10-14,2020-10-14,SPY,1,exit,,,0.1
2020-10-28,2020-10-28,SPY,-1,exit,,,0.1
2020-10-29,2020-10-29,SPY,-1,exit,,,0.1
2020-10-30,2020-10-30,SPY,-1,exit,,,0.1
2020-11-06,2020-11-06,SPY,1,exit,,,0.1
2020-11-17,2020-11-17,SPY,1,exit,,,0.1
2020-11-25,2020-11-25,SPY,1,exit,,,0.1
2020-11-27,2020-11-27,SPY,1,exit,,,0.1
2020-11-30,2020-11-30,SPY,1,exit,,,0.1
2020-12-01,2020-12-01,SPY,1,exit,,,0.1
2020-12-02,2020-12-02,SPY,1,exit,,,0.1
2020-12-03,2020-12-03,SPY,1,exit,,,0.1
2020-12-04,2020-12-04,SPY,1,exit,,,0.1
2020-12-07,2020-12-07,SPY,1,exit,,,0.1
2020-12-08,2020-12-08,SPY,1,exit,,,0.1
2020-12-17,2020-12-17,SPY,1,exit,,,0.1
2020-12-29,2020-12-29,SPY,1,exit,,,0.1
2020-12-30,2020-12-30,SPY,1,exit,,,0.1
2020-12-31,2020-12-31,SPY,1,exit,,,0.1
2021-01-07,2021-01-07,SPY,1,exit,,,0.1
2021-01-08,2021-01-08,SPY,1,exit,,,0.1
2021-01-11,2021-01-11,SPY,1,exit,,,0.1
2021-01-12,2021-01-12,SPY,1,exit,,,0.1
2021-01-13,2021-01-13,SPY,1,exit,,,0.1
2021-01-20,2021-01-20,SPY,1,exit,,,0.1
2021-01-21,2021-01-21,SPY,1,exit,,,0.1
2021-01-22,2021-01-22,SPY,1,exit,,,0.1
2021-01-25,2021-01-25,SPY,1,exit,,,0.1
2021-01-26,2021-01-26,SPY,1,exit,,,0.1
2021-01-29,2021-01-29,SPY,1,reversal,,,0.1
2021-02-04,2021-02-04,SPY,-1,exit,,,0.1
2021-02-05,2021-02-05,SPY,1,exit,,,0.1
2021-02-08,2021-02-08,SPY,1,exit,,,0.1
2021-02-09,2021-02-09,SPY,1,exit,,,0.1
2021-02-10,2021-02-10,SPY,1,exit,,,0.1
2021-02-11,2021-02-11,SPY,1,exit,,,0.1
2021-02-12,2021-02-12,SPY,1,exit,,,0.1
2021-02-16,2021-02-16,SPY,1,exit,,,0.1
2021-02-17,2021-02-17,SPY,1,exit,,,0.1
2021-02-18,2021-02-18,SPY,1,exit,,,0.1
2021-03-11,2021-03-11,SPY,1,exit,,,0.1
2021-03-12,2021-03-12,SPY,1,exit,,,0.1
2021-03-15,2021-03-15,SPY,1,exit,,,0.1
2021-03-16,2021-03-16,SPY,1,exit,,,0.1
2021-03-17,2021-03-17,SPY,1,exit,,,0.1
2021-04-05,2021-04-05,SPY,1,exit,,,0.1
2021-04-06,2021-04-06,SPY,1,exit,,,0.1
2021-04-07,2021-04-07,SPY,1,exit,,,0.1
2021-04-08,2021-04-08,SPY,1,exit,,,0.1
2021-04-09,2021-04-09,SPY,1,exit,,,0.1
2021-04-12,2021-04-12,SPY,1,exit,,,0.1
2021-04-13,2021-04-13,SPY,1,exit,,,0.1
2021-04-14,2021-04-14,SPY,1,exit,,,0.1
2021-04-15,2021-04-15,SPY,1,exit,,,0.1
2021-04-16,2021-04-16,SPY,1,exit,,,0.1
2021-04-19,2021-04-19,SPY,1,exit,,,0.1
2021-04-21,2021-04-21,SPY,1,exit,,,0.1
2021-04-26,2021-04-26,SPY,1,exit,,,0.1
2021-04-27,2021-04-27,SPY,1,exit,,,0.1
2021-04-28,2021-04-28,SPY,1,exit,,,0.1
2021-04-29,2021-04-29,SPY,1,exit,,,0.1
2021-05-26,2021-05-26,SPY,1,exit,,,0.1
2021-05-27,2021-05-27,SPY,1,exit,,,0.1
2021-05-28,2021-05-28,SPY,1,exit,,,0.1
2021-06-01,2021-06-01,SPY,1,exit,,,0.1
2021-06-02,2021-06-02,SPY,1,exit,,,0.1
2021-06-04,2021-06-04,SPY,1,exit,,,0.1
2021-06-07,2021-06-07,SPY,1,exit,,,0.1
2021-06-08,2021-06-08,SPY,1,exit,,,0.1
2021-06-09,2021-06-09,SPY,1,exit,,,0.1
2021-06-10,2021-06-10,SPY,1,exit,,,0.1
2021-06-11,2021-06-11,SPY,1,exit,,,0.1
2021-06-14,2021-06-14,SPY,1,exit,,,0.1
2021-06-15,2021-06-15,SPY,1,exit,,,0.1
2021-06-24,2021-06-24,SPY,1,exit,,,0.1
2021-06-25,2021-06-25,SPY,1,exit,,,0.1
2021-06-28,2021-06-28,SPY,1,exit,,,0.1
2021-06-29,2021-06-29,SPY,1,exit,,,0.1
2021-06-30,2021-06-30,SPY,1,exit,,,0.1
2021-07-01,2021-07-01,SPY,1,exit,,,0.1
2021-07-02,2021-07-02,SPY,1,exit,,,0.1
2021-07-06,2021-07-06,SPY,1,exit,,,0.1
2021-07-07,2021-07-07,SPY,1,exit,,,0.1
2021-07-09,2021-07-09,SPY,1,exit,,,0.1
2021-07-12,2021-07-12,SPY,1,exit,,,0.1
2021-07-13,2021-07-13,SPY,1,exit,,,0.1
2021-07-14,2021-07-14,SPY,1,exit,,,0.1
2021-07-23,2021-07-23,SPY,1,exit,,,0.1
2021-07-26,2021-07-26,SPY,1,exit,,,0.1
2021-07-27,2021-07-27,SPY,1,exit,,,0.1
2021-07-28,2021-07-28,SPY,1,exit,,,0.1
2021-07-29,2021-07-29,SPY,1,exit,,,0.1
2021-07-30,2021-07-30,SPY,1,exit,,,0.1
2021-08-02,2021-08-02,SPY,1,exit,,,0.1
2021-08-03,2021-08-03,SPY,1,exit,,,0.1
2021-08-04,2021-08-04,SPY,1,exit,,,0.1
2021-08-05,2021-08-05,SPY,1,exit,,,0.1
2021-08-06,2021-08-06,SPY,1,exit,,,0.1
2021-08-09,2021-08-09,SPY,1,exit,,,0.1
2021-08-10,2021-08-10,SPY,1,exit,,,0.1
2021-08-11,2021-08-11,SPY,1,exit,,,0.1
2021-08-12,2021-08-12,SPY,1,exit,,,0.1
2021-08-13,2021-08-13,SPY,1,exit,,,0.1
2021-08-16,2021-08-16,SPY,1,exit,,,0.1
2021-08-24,2021-08-24,SPY,1,exit,,,0.1
2021-08-25,2021-08-25,SPY,1,exit,,,0.1
2021-08-27,2021-08-27,SPY,1,exit,,,0.1
2021-08-30,2021-08-30,SPY,1,exit,,,0.1
2021-08-31,2021-08-31,SPY,1,exit,,,0.1
2021-09-01,2021-09-01,SPY,1,exit,,,0.1
2021-09-02,2021-09-02,SPY,1,exit,,,0.1
2021-09-03,2021-09-03,SPY,1,exit,,,0.1
2021-09-07,2021-09-07,SPY,1,exit,,,0.1
2021-09-14,2021-09-14,SPY,1,reversal,,,0.1
2021-09-20,2021-09-20,SPY,-1,exit,,,0.1
2021-09-21,2021-09-21,SPY,-1,exit,,,0.1
2021-10-18,2021-10-18,SPY,1,exit,,,0.1
2021-10-19,2021-10-19,SPY,1,exit,,,0.1
2021-10-20,2021-10-20,SPY,1,exit,,,0.1
2021-10-21,2021-10-21,SPY,1,exit,,,0.1
2021-10-22,2021-10-22,SPY,1,exit,,,0.1
2021-10-25,2021-10-25,SPY,1,exit,,,0.1
2021-10-26,2021-10-26,SPY,1,exit,,,0.1
2021-10-27,2021-10-27,SPY,1,exit,,,0.1
2021-10-28,2021-10-28,SPY,1,exit,,,0.1
2021-10-29,2021-10-29,SPY,1,exit,,,0.1
2021-11-01,2021-11-01,SPY,1,exit,,,0.1
2021-11-02,2021-11-02,SPY,1,exit,,,0.1
2021-11-03,2021-11-03,SPY,1,exit,,,0.1
2021-11-04,2021-11-04,SPY,1,exit,,,0.1
2021-11-05,2021-11-05,SPY,1,exit,,,0.1
2021-11-08,2021-11-08,SPY,1,exit,,,0.1
2021-11-16,2021-11-16,SPY,1,exit,,,0.1
2021-11-17,2021-11-17,SPY,1,exit,,,0.1
2021-11-18,2021-11-18,SPY,1,exit,,,0.1
2021-12-03,2021-12-03,SPY,1,reversal,,,0.1
2021-12-28,2021-12-28,SPY,-1,exit,,,0.1
2021-12-29,2021-12-29,SPY,1,exit,,,0.1
2021-12-30,2021-12-30,SPY,1,exit,,,0.1
2021-12-31,2021-12-31,SPY,1,exit,,,0.1
2022-01-03,2022-01-03,SPY,1,exit,,,0.1
2022-01-04,2022-01-04,SPY,1,exit,,,0.1
2022-01-19,2022-01-19,SPY,-1,exit,,,0.1
2022-01-20,2022-01-20,SPY,-1,exit,,,0.1
2022-01-21,2022-01-21,SPY,-1,exit,,,0.1
2022-02-09,2022-02-09,SPY,-1,reversal,,,0.1
2022-02-22,2022-02-22,SPY,1,exit,,,0.1
2022-02-23,2022-02-23,SPY,-1,exit,,,0.1
2022-03-18,2022-03-18,SPY,-1,reversal,,,0.1
2022-03-22,2022-03-22,SPY,1,exit,,,0.1
2022-03-23,2022-03-23,SPY,-1,reversal,,,0.1
2022-03-24,2022-03-24,SPY,1,exit,,,0.1
2022-03-25,2022-03-25,SPY,1,exit,,,0.1
2022-03-28,2022-03-28,SPY,1,exit,,,0.1
2022-03-29,2022-03-29,SPY,1,exit,,,0.1
2022-03-30,2022-03-30,SPY,1,exit,,,0.1
2022-03-31,2022-03-31,SPY,1,exit,,,0.1
2022-04-01,2022-04-01,SPY,1,exit,,,0.1
2022-04-04,2022-04-04,SPY,1,exit,,,0.1
2022-04-12,2022-04-12,SPY,-1,exit,,,0.1
2022-04-14,2022-04-14,SPY,-1,exit,,,0.1
2022-04-18,2022-04-18,SPY,-1,exit,,,0.1
2022-04-22,2022-04-22,SPY,-1,exit,,,0.1
2022-04-26,2022-04-26,SPY,-1,exit,,,0.1
2022-04-27,2022-04-27,SPY,-1,exit,,,0.1
2022-04-29,2022-04-29,SPY,-1,exit,,,0.1
2022-05-09,2022-05-09,SPY,-1,exit,,,0.1
2022-05-10,2022-05-10,SPY,-1,exit,,,0.1
2022-05-11,2022-05-11,SPY,-1,exit,,,0.1
2022-05-12,2022-05-12,SPY,-1,exit,,,0.1
2022-05-31,2022-05-31,SPY,-1,reversal,,,0.1
2022-06-14,2022-06-14,SPY,1,exit,,,0.1
2022-06-16,2022-06-16,SPY,-1,exit,,,0.1
2022-06-17,2022-06-17,SPY,-1,exit,,,0.1
2022-06-22,2022-06-22,SPY,-1,exit,,,0.1
2022-07-20,2022-07-20,SPY,-1,reversal,,,0.1
2022-07-21,2022-07-21,SPY,1,exit,,,0.1
2022-07-22,2022-07-22,SPY,-1,reversal,,,0.1
2022-07-26,2022-07-26,SPY,1,exit,,,0.1
2022-07-27,2022-07-27,SPY,1,exit,,,0.1
2022-07-28,2022-07-28,SPY,1,exit,,,0.1
2022-07-29,2022-07-29,SPY,1,exit,,,0.1
2022-08-01,2022-08-01,SPY,1,exit,,,0.1
2022-08-02,2022-08-02,SPY,1,exit,,,0.1
2022-08-03,2022-08-03,SPY,1,exit,,,0.1
2022-08-04,2022-08-04,SPY,1,exit,,,0.1
2022-08-05,2022-08-05,SPY,1,exit,,,0.1
2022-08-08,2022-08-08,SPY,1,exit,,,0.1
