,symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,return,holding_days,holding_bars
449,SPY,2025-03-19 14:40:00,563.99,2025-03-19 15:45:00,565.44,24.16640068167999,7.725646435139424,0.002570967570347138,0.04513888888888889,3
450,SPY,2025-03-19 15:50:00,566.01,2025-03-19 17:35:00,564.13,21.160221361500152,-63.64351039726898,-0.003321496086641562,0.07291666666666667,5
451,SPY,2025-03-19 18:45:00,566.61,2025-03-19 19:05:00,570.38,21.558631819043388,56.6951137363194,0.006653606537124324,0.013888888888888888,1
452,SPY,2025-03-19 19:15:00,569.4,2025-03-19 19:20:00,568.46,20.9419797524781,-43.48291190970485,-0.0016508605549699906,0.003472222222222222,0
453,SPY,2025-03-19 19:50:00,567.59,2025-03-20 13:35:00,564.65,25.39661978279401,-103.33212468076454,-0.005179795274758314,0.7395833333333334,57
454,SPY,2025-03-20 13:45:00,565.49,2025-03-20 14:15:00,568.84,20.181353412402288,44.65909174240187,0.005924065854391758,0.020833333333333332,1
455,SPY,2025-03-20 15:00:00,569.23,2025-03-20 15:10:00,569.66,23.713926894540432,-16.807253749240772,0.0007554064262247362,0.006944444444444444,0
456,SPY,2025-03-20 15:30:00,568.19,2025-03-20 16:25:00,566.24,19.689557542380047,-60.68151831817522,-0.0034319505799117467,0.03819444444444445,2
457,SPY,2025-03-20 17:25:00,564.75,2025-03-20 17:35:00,565.88,20.381285663684988,-0.024337700837349985,0.002000885347498871,0.006944444444444444,0
458,SPY,2025-03-21 14:35:00,559.27,2025-03-21 14:40:00,559.91,20.321737878106337,-9.739397924417062,0.0011443488833657867,0.003472222222222222,0
459,SPY,2025-03-21 17:00:00,563.1,2025-03-21 19:50:00,563.58,23.512222823961107,-15.202919104214743,0.0008524240809804073,0.11805555555555555,9
460,SPY,2025-03-24 13:30:00,570.88,2025-03-24 13:40:00,572.04,32.88111338217433,0.5422766371411853,0.0020319506726456105,0.006944444444444444,0
461,SPY,2025-03-24 14:30:00,573.0,2025-03-24 14:45:00,573.57,25.37513277429602,-14.630449714450151,0.0009947643979058007,0.010416666666666666,0
462,SPY,2025-03-24 15:00:00,573.58,2025-03-24 15:55:00,573.88,25.38250312823319,-21.503704341097546,0.0005230307890791153,0.03819444444444445,2
463,SPY,2025-03-24 16:15:00,573.85,2025-03-24 19:00:00,573.88,23.372054495751893,-26.11093487853941,5.2278469983457754e-05,0.11458333333333333,8
464,SPY,2025-03-24 19:25:00,573.95,2025-03-25 14:25:00,575.8,19.642056320476247,13.729322030247204,0.003223277288962212,0.7916666666666666,61
465,SPY,2025-03-25 14:45:00,576.01,2025-03-25 17:00:00,575.3,20.11010132947706,-37.40528519232976,-0.0012326174892797193,0.09375,7
466,SPY,2025-03-25 17:10:00,575.11,2025-03-25 19:45:00,575.37,24.15656171857696,-21.50331682428805,0.00045208742675306723,0.1076388888888889,8
467,SPY,2025-03-26 13:30:00,575.01,2025-03-26 14:20:00,572.95,19.515740325073182,-62.55433036473187,-0.0035825463904974875,0.034722222222222224,2
468,SPY,2025-03-26 15:30:00,572.43,2025-03-26 15:55:00,570.66,20.228033796496447,-58.87873602265063,-0.003092081127823443,0.017361111111111112,1
469,SPY,2025-03-26 18:40:00,568.17,2025-03-26 18:55:00,567.41,19.455054134536134,-36.8527866829354,-0.0013376278226586713,0.010416666666666666,0
470,SPY,2025-03-27 14:05:00,568.27,2025-03-27 14:25:00,569.52,21.819620606138365,2.433531812785077,0.002199658612983324,0.013888888888888888,1
471,SPY,2025-03-27 16:45:00,567.53,2025-03-27 16:50:00,567.38,26.255719456026377,-33.71740115821922,-0.0002643032086409036,0.003472222222222222,0
472,SPY,2025-03-27 18:55:00,567.56,2025-03-27 19:20:00,569.81,19.423715126144074,21.5787726288836,0.003964338572133297,0.017361111111111112,1
473,SPY,2025-03-27 19:35:00,568.62,2025-03-28 13:30:00,565.04,19.767589405188023,-93.09575802687141,-0.006295944567549561,0.7465277777777778,58
474,SPY,2025-03-28 17:10:00,555.79,2025-03-28 17:20:00,555.77,19.910520609503408,-22.51848482043897,-3.5984814408251964e-05,0.006944444444444444,0
475,SPY,2025-03-28 17:55:00,556.41,2025-03-28 18:25:00,555.99,19.86877816995424,-30.427523938831655,-0.0007548390575294883,0.020833333333333332,1
476,SPY,2025-03-28 19:00:00,556.11,2025-03-31 13:45:00,547.7,22.777048875758233,-216.49248539396103,-0.0151229073384761,2.78125,216
477,SPY,2025-03-31 15:50:00,553.92,2025-03-31 17:05:00,554.83,19.76400101689699,-3.9351147823472274,0.0016428365106875287,0.052083333333333336,4
478,SPY,2025-03-31 17:15:00,553.53,2025-03-31 18:05:00,556.19,22.58237939820722,34.961502097852645,0.0048055209293083045,0.034722222222222224,2
479,SPY,2025-03-31 18:35:00,557.49,2025-04-01 14:15:00,554.25,20.32951722977525,-88.39163803875272,-0.0058117634397030216,0.8194444444444444,63
480,SPY,2025-04-01 16:15:00,562.63,2025-04-01 18:00:00,557.88,21.405386909998807,-125.54692068394615,-0.008442493290439557,0.07291666666666667,5
481,SPY,2025-04-02 13:55:00,558.73,2025-04-02 14:10:00,559.16,25.093927664929097,-17.25862076973135,0.0007696024913641519,0.010416666666666666,0
482,SPY,2025-04-02 14:35:00,560.98,2025-04-02 15:00:00,561.95,23.74891686867812,-3.6416126022540993,0.001729116902563499,0.017361111111111112,1
483,SPY,2025-04-02 15:05:00,562.03,2025-04-02 16:25:00,564.28,20.388891573134476,22.87642360951213,0.004003345017169924,0.05555555555555555,4
484,SPY,2025-04-02 17:30:00,565.5,2025-04-02 18:25:00,561.1,23.7347989363143,-131.05498909042944,-0.007780725022104251,0.03819444444444445,2
485,SPY,2025-04-03 13:30:00,547.51,2025-04-03 13:40:00,546.32,21.978980736889593,-50.158093032494435,-0.002173476283538145,0.006944444444444444,0
486,SPY,2025-04-07 17:50:00,507.79,2025-04-07 17:55:00,509.09,21.39817595981241,6.041327546392495,0.002560113432718225,0.003472222222222222,0
487,SPY,2025-04-07 19:35:00,504.63,2025-04-07 19:45:00,502.63,24.413454980531487,-73.3565087799143,-0.003963299843449675,0.006944444444444444,0
488,SPY,2025-04-08 13:45:00,519.41,2025-04-08 14:05:00,524.06,21.636845878256864,77.94466143742466,0.00895246529716398,0.013888888888888888,1
489,SPY,2025-04-08 15:05:00,517.71,2025-04-08 15:15:00,516.04,25.680508499749298,-69.37753623739991,-0.0032257441424736744,0.006944444444444444,0
490,SPY,2025-04-08 15:40:00,517.43,2025-04-08 16:15:00,513.36,22.78313677215865,-116.10757289830144,-0.007865798272229885,0.024305555555555556,1
491,SPY,2025-04-08 17:50:00,505.28,2025-04-08 18:00:00,505.93,27.050068441208456,-9.774652325007992,0.001286415452818268,0.006944444444444444,0
492,SPY,2025-04-09 14:35:00,498.83,2025-04-09 14:40:00,497.66,24.431214480575804,-52.88923890088154,-0.002345488442956456,0.003472222222222222,0
493,SPY,2025-04-09 15:25:00,498.28,2025-04-09 15:35:00,495.98,23.10749918757446,-76.05750216807792,-0.004615878622461156,0.006944444444444444,0
494,SPY,2025-04-09 15:45:00,497.66,2025-04-09 17:00:00,505.6,22.443771671499462,155.51975272844174,0.015954667845516912,0.052083333333333336,4
495,SPY,2025-04-09 17:10:00,502.41,2025-04-09 17:15:00,512.8,24.31474285816452,227.7054466211339,0.020680320853486034,0.003472222222222222,0
496,SPY,2025-04-09 17:20:00,523.52,2025-04-09 17:55:00,534.87,23.146524292285047,237.96466820245405,0.021680165036674914,0.024305555555555556,1
497,SPY,2025-04-09 19:05:00,534.87,2025-04-09 19:45:00,543.05,21.275515026278864,150.9379297133528,0.015293435788135357,0.027777777777777776,2
498,SPY,2025-04-11 14:45:00,525.91,2025-04-11 15:00:00,523.01,27.659173849102427,-109.12918716751847,-0.005514251487897082,0.010416666666666666,0
499,SPY,2025-04-11 15:30:00,523.71,2025-04-11 15:55:00,526.94,27.17582939066773,59.15218588515927,0.0061675354681025585,0.017361111111111112,1
500,SPY,2025-04-11 18:55:00,532.16,2025-04-11 19:05:00,534.69,20.63998765229994,30.158214759701877,0.004754209260372955,0.006944444444444444,0
501,SPY,2025-04-14 13:30:00,542.62,2025-04-14 13:55:00,540.47,29.322029933741018,-94.72187171660335,-0.0039622571965647335,0.017361111111111112,1
502,SPY,2025-04-14 14:20:00,541.22,2025-04-14 14:45:00,542.98,24.313104420901816,16.401206433301923,0.0032519123461809407,0.017361111111111112,1
503,SPY,2025-04-14 15:00:00,541.78,2025-04-14 15:45:00,535.9,23.69203391488423,-164.68958480851688,-0.010853113810033621,0.03125,2
504,SPY,2025-04-14 16:15:00,536.91,2025-04-14 17:15:00,537.49,20.371439200751112,-10.072505530730268,0.0010802555363096378,0.041666666666666664,3
505,SPY,2025-04-14 17:40:00,537.04,2025-04-14 18:25:00,540.38,21.378471232131123,48.31064984476325,0.006219276031580678,0.03125,2
506,SPY,2025-04-14 18:55:00,540.73,2025-04-14 19:00:00,541.4,20.437053985252568,-8.425351264086203,0.0012390657074694555,0.003472222222222222,0
507,SPY,2025-04-14 19:25:00,541.33,2025-04-15 14:45:00,540.7,21.57146922681122,-36.90574874135382,-0.0011638002697060834,0.8055555555555556,62
508,SPY,2025-04-15 14:50:00,541.02,2025-04-15 16:40:00,540.72,22.190401175106942,-30.64270900561678,-0.0005545081512697836,0.0763888888888889,5
509,SPY,2025-04-15 17:50:00,537.5,2025-04-15 17:55:00,538.29,21.78044278685857,-6.230115099311661,0.0014697674418604478,0.003472222222222222,0
