,symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,return,holding_days
26,SPY,2021-02-16,391.47,2021-03-05,383.95,248.1679157022283,-2056.6955844772747,-0.019209645694433952,17
27,SPY,2021-04-20,411.8,2021-04-29,419.35,230.72305804612617,1548.5484131793637,0.01833414278776102,9
28,SPY,2021-05-04,415.58,2021-06-21,421.21,231.7297841562905,1109.5224869333615,0.013547331440396437,48
29,SPY,2021-07-08,430.26,2021-07-09,435.65,225.84772991697582,1020.6365277393779,0.012527309068935066,1
30,SPY,2021-07-19,425.75,2021-08-11,443.57,230.08368173042308,3896.0768292445136,0.04185554903112143,23
31,SPY,2021-08-17,443.0,2021-08-23,448.0,229.05911282628676,940.1612175216142,0.011286681715575675,6
32,SPY,2021-09-07,451.11,2021-10-14,443.2,226.49341553921894,-1992.226298567417,-0.017534525947108248,37
33,SPY,2021-10-27,454.85,2021-11-04,467.19,220.04309792368076,2509.8307604752044,0.02712982301857747,8
34,SPY,2021-11-26,457.1,2021-12-03,453.53,223.75997087047168,-1001.685333325775,-0.0078101071975499314,7
35,SPY,2022-01-10,465.98,2022-03-17,438.51,217.036463269847,-6152.241792380111,-0.0589510279411134,66
36,SPY,2022-03-31,453.2,2022-05-31,414.57,209.83620815668604,-8279.869322927,-0.0852383053839364,61
37,SPY,2022-06-17,366.33,2022-07-15,385.2,237.63032668585393,4301.105396085128,0.0515109327655392,28
38,SPY,2022-08-05,412.95,2022-08-12,427.19,220.29710105135214,2948.907390493594,0.03448359365540621,7
39,SPY,2022-08-24,413.82,2022-09-12,411.38,226.18582299079534,-737.8970074975659,-0.0058962834082451065,19
40,SPY,2022-10-12,357.58,2022-10-24,378.86,259.3022142734738,5321.570885177134,0.05951115834218923,12
41,SPY,2022-11-28,396.44,2023-01-13,398.4,246.1924114434056,286.4690960476728,0.00494400161436781,46
42,SPY,2023-02-16,407.3,2023-03-30,404.22,239.8407353944253,-932.5093607150338,-0.0075619936164988966,42
43,SPY,2023-04-10,410.18,2023-04-28,416.17,235.5442714925046,1214.9552937654953,0.014603344872982538,18
44,SPY,2023-05-02,411.0,2023-05-08,412.54,237.4357554293612,169.84552201810584,0.003746958637469655,6
45,SPY,2023-06-20,437.39,2023-07-17,450.29,223.05480792697406,2676.6287626845588,0.029493129701182008,27
46,SPY,2023-07-21,451.95,2023-08-29,449.45,221.08480891525565,-751.3457904546958,-0.0055315853523619785,39
47,SPY,2023-09-15,443.29,2023-11-16,450.54,223.36519960784776,1418.2284180512797,0.016354982065916124,62
48,SPY,2023-11-27,454.7,2023-12-01,459.82,220.3093307758859,925.4798032542894,0.0112601715416758,4
49,SPY,2023-12-04,455.82,2023-12-18,471.79,221.27908277572206,3325.1368322612398,0.03503575972971795,14
50,SPY,2023-12-29,475.07,2024-01-29,491.29,218.558475932699,3330.3746679400792,0.03414233691876989,31
51,SPY,2024-01-30,489.21,2024-05-02,506.49,218.3051335092035,3551.2845422639657,0.035322254246642704,93
52,SPY,2024-05-23,526.1,2024-06-17,547.54,209.02444177664876,4252.699995233415,0.04075270861053015,25
53,SPY,2024-07-19,549.05,2024-08-15,553.55,207.26487679271523,703.3437319425575,0.008195974865677025,27
54,SPY,2024-08-28,554.46,2024-09-16,562.44,206.05748179561803,1412.6646595768398,0.014392381776864083,19
55,SPY,2024-09-17,563.46,2024-09-19,570.25,204.76249963674346,1156.922507513198,0.012050544847904021,2
56,SPY,2024-10-03,567.8,2024-10-24,579.36,204.74679713361536,2129.7473881943297,0.020359281437125842,21
57,SPY,2024-10-31,569.4,2024-11-07,595.73,207.33666324042483,5212.264519006349,0.046241657885493614,7
58,SPY,2024-11-19,591.39,2024-12-05,606.22,207.62056501638412,2827.4113650834333,0.025076514651921844,16
59,SPY,2024-12-10,603.16,2025-01-23,609.02,207.63538549818207,963.9616081696149,0.009715498375223897,44
60,SPY,2025-01-27,599.17,2025-02-14,609.78,210.14912743800767,1973.5209169938898,0.017707829163676525,18
61,SPY,2025-02-27,584.89,2025-04-22,536.65,218.07611574615711,-10753.935888077453,-0.08247704696609626,54
62,SPY,2025-05-07,561.01,2025-05-08,564.32,208.7161245741435,455.4027881844813,0.005900073082476309,1
